experiment,num_steps,n_action_steps,chunk_size,quant_method,scope,episodes_per_task,success_pct,eval_ep_s,mean_inference_ms,notes
A_ns10,10,1,50,none,all,5,72.0,90.8,400.35,"baseline default num_steps"
A_ns5,5,1,50,none,all,5,72.0,63.1,249.28,"num_steps sweep"
A_ns2,2,1,50,none,all,5,72.0,46.8,144.57,"num_steps sweep"
C_na5,2,5,50,none,all,5,58.0,36.9,,"n_action_steps sweep"
C_na10,2,10,50,none,all,5,66.0,32.5,,"n_action_steps sweep"
C_na20,2,20,50,none,all,5,76.0,29.6,,"n_action_steps sweep"
C_na50,2,50,50,none,all,5,56.0,34.4,,"n_action_steps sweep"
D_cs20_na20,2,20,20,none,all,5,78.0,28.5,,"chunk_size sweep"
D_cs10_na10,2,10,10,none,all,5,74.0,31.0,,"chunk_size sweep"
D_cs1_na1,2,1,1,none,all,5,80.0,43.5,,"chunk_size sweep"
Q_int8_lang_ns10,10,1,50,int8_groupwise,language,5,78.0,,389.5,"quant x num_steps"
Q_int8_lang_ns2,2,1,50,int8_groupwise,language,5,80.0,,133.25,"quant x num_steps"
Q_int8_backbone_ns10,10,1,50,int8_groupwise,backbone,5,78.0,,445.13,"quant x num_steps"
Q_int8_backbone_ns2,2,1,50,int8_groupwise,backbone,5,78.0,,142.93,"quant x num_steps"
Q_mixed_ns2,2,1,50,mixed,mixed,5,76.0,,179.21,"quant x num_steps"
