run_type,num_steps,task_id,successes,n_episodes
confirmation,10,0,3,5
confirmation,10,1,4,5
confirmation,10,2,5,5
confirmation,10,3,3,5
confirmation,10,4,3,5
confirmation,10,5,4,5
confirmation,10,6,4,5
confirmation,10,7,4,5
confirmation,10,8,3,5
confirmation,10,9,3,5
confirmation,5,0,3,5
confirmation,5,1,5,5
confirmation,5,2,5,5
confirmation,5,3,3,5
confirmation,5,4,4,5
confirmation,5,5,3,5
confirmation,5,6,4,5
confirmation,5,7,3,5
confirmation,5,8,3,5
confirmation,5,9,3,5
confirmation,2,0,3,5
confirmation,2,1,4,5
confirmation,2,2,3,5
confirmation,2,3,5,5
confirmation,2,4,3,5
confirmation,2,5,5,5
confirmation,2,6,4,5
confirmation,2,7,2,5
confirmation,2,8,4,5
confirmation,2,9,3,5
